Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,FraudFound_P,RepNumber,Deductible,DriverRating,Days_Policy_Accident,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy,ClaimSize,Accident_date,claim_date,year_claim,Accident_datetime,claim_datetime,days_btw_claim
12,5,3,1,1,2,1,1,1,1,-1.3912293309274841,1,1,1,6,0,12,-2.4787569892264036,1.0,4,0,3,4,0,0,2,3,-1.0800655146048157,1,1.2061794739893053,31,2,-0.046505565716158846,0.41446136534104594,0.557728917382483,-0.47878219729240407
1,3,3,1,1,1,1,4,0,1,-0.4344406376959841,1,2,1,6,0,15,-0.1756301196323356,4.0,4,0,6,5,0,0,0,1,-1.0800655146048157,2,1.3457773173415364,17,22,-1.172876217116909,1.513648089439376,1.5670391196766904,-0.45461106294941134
10,5,5,1,1,4,11,2,0,2,0.522348055535516,1,2,1,6,0,7,-0.1756301196323356,3.0,4,1,7,7,0,0,0,1,-1.0800655146048157,2,1.8074434163679585,31,11,-1.172876217116909,0.6071349003123049,0.7098568319311751,-0.4062687942634259
6,2,6,2,2,5,7,1,0,2,1.8471324000099008,2,3,1,2,0,4,-0.1756301196323356,2.0,4,1,8,8,0,3,0,1,-1.0800655146048157,1,-0.5698030829770045,13,5,-1.172876217116909,1.0493364559840468,1.0872510814846614,-0.31764130167245247
2,1,6,1,1,1,2,3,0,2,-0.2872423771988302,2,2,1,6,0,14,-0.1756301196323356,1.0,4,1,7,6,0,1,0,1,-1.0800655146048157,2,2.799806546817436,6,15,-1.172876217116909,1.4504764386291271,1.4968262360388325,-0.42238288382542105
12,4,6,1,1,3,12,5,0,1,-0.7288371586902919,1,2,1,6,0,7,-0.1756301196323356,4.0,4,0,6,5,0,2,0,1,-1.0800655146048157,2,1.266958011653508,27,31,-1.172876217116909,0.42709569550309573,0.5635799910189712,-0.46266810773040895
3,2,7,3,1,3,3,3,0,1,2.2887271815013626,1,4,2,6,0,7,-0.1756301196323356,3.0,4,0,8,9,0,0,0,1,-1.0800655146048157,3,1.4691269772055973,14,17,-1.172876217116909,1.336767467170679,1.40906013149151,-0.4707251525114065
3,5,1,1,1,1,3,5,0,2,0.8903437067784007,1,3,1,2,0,13,-0.1756301196323356,1.0,4,3,8,7,0,0,0,1,-1.0800655146048157,1,2.9804135295143146,29,29,-1.172876217116909,1.2893887290629924,1.373953689672581,-0.49489628685439924
1,3,5,4,1,5,1,3,0,2,-0.8760354191874457,1,3,1,6,0,11,-0.1756301196323356,1.0,4,1,7,5,0,0,0,1,-1.0800655146048157,1,1.3625619366261175,19,19,-1.172876217116909,1.507330924358351,1.5758157301314226,-0.49489628685439924
1,5,5,1,2,3,2,1,0,1,-2.9368110661476,2,5,2,6,0,12,-0.1756301196323356,3.0,4,0,8,1,0,0,0,1,-1.0800655146048157,2,2.194740242970943,31,3,-1.172876217116909,1.4694279338722016,1.5319326778577613,-0.4707251525114065
1,5,1,4,1,4,2,1,0,2,1.5527358790155932,1,3,1,6,0,3,-0.1756301196323356,1.0,4,0,8,8,0,0,0,1,-1.0800655146048157,1,1.3553139135260563,29,4,-1.172876217116909,1.4757450989532266,1.5290071410395174,-0.4465540181684138
8,4,2,4,1,1,8,5,0,1,-0.14004411670167638,1,3,1,6,0,16,-0.1756301196323356,1.0,4,0,6,6,0,0,0,1,-1.0800655146048157,1,1.1622722498528466,23,29,-1.172876217116909,0.8250770956076635,0.926346556481237,-0.4465540181684138
4,4,4,4,1,3,5,1,0,2,0.08075327404405443,1,4,2,6,0,15,-0.1756301196323356,4.0,4,0,7,6,0,0,0,1,-1.0800655146048157,3,1.085700599662548,25,3,-1.172876217116909,1.2041070004691565,1.2715599010340384,-0.4304399286064186
7,5,7,5,1,3,8,1,1,2,-0.8760354191874457,2,5,2,2,0,6,-0.1756301196323356,1.0,4,0,7,5,0,1,0,1,-1.0800655146048157,2,-0.6040746508708335,31,3,-1.172876217116909,0.8977244940394496,1.002410513755583,-0.4707251525114065
4,2,5,3,1,2,5,1,0,2,0.007154143795477499,1,3,1,2,0,3,-0.1756301196323356,1.0,4,1,8,6,0,3,0,1,-1.0800655146048157,1,-0.546249626778395,12,2,-1.172876217116909,1.2451685734958182,1.2744854378522825,-0.33375539123444764
1,2,6,5,1,1,1,2,0,2,0.522348055535516,1,5,2,2,0,13,-0.1756301196323356,2.0,4,1,8,7,0,0,4,2,-1.0800655146048157,2,-0.8026464135435091,13,8,-0.046505565716158846,1.5262824196014257,0.5401756964730186,2.40563983430473
3,3,1,6,1,2,4,1,0,2,1.4791367487670162,1,3,1,2,0,16,-0.1756301196323356,4.0,4,4,8,8,0,0,0,1,-1.0800655146048157,1,-0.02603554569217931,15,2,-1.172876217116909,1.3336088846301666,1.3622515423996049,-0.3498694807964428
3,3,4,1,1,4,6,4,0,2,-1.3912293309274841,1,5,2,3,0,1,-0.1756301196323356,2.0,4,4,5,4,0,3,0,1,-1.0800655146048157,2,2.2967197362457092,18,25,-1.172876217116909,1.3241331370086293,1.1165064496671022,0.30275114646436113
7,1,6,1,1,2,9,4,0,1,-2.9368110661476,1,4,2,6,1,9,-0.1756301196323356,1.0,4,0,8,1,0,0,0,1,-1.0800655146048157,3,1.5273041083124645,6,23,-1.172876217116909,0.9766890575522607,0.853208136025135,0.14161025084440954
5,3,1,3,1,3,5,4,1,2,-0.06644498645309943,1,5,2,2,0,12,-0.1756301196323356,3.0,4,0,7,6,0,0,0,1,-1.0800655146048157,2,-0.5967624393153133,15,24,-1.172876217116909,1.1409353496589076,1.2101236278509127,-0.42238288382542105
3,2,5,7,1,6,3,2,0,2,0.522348055535516,1,5,2,3,0,2,-0.1756301196323356,1.0,4,3,8,7,1,0,0,1,-1.0800655146048157,2,1.158307669526192,12,13,-1.172876217116909,1.343084632251704,1.4207622787644865,-0.4868392420734017
3,2,3,5,1,3,3,2,0,1,0.15435240429263136,1,5,2,2,0,2,-0.1756301196323356,3.0,4,4,7,6,0,2,0,1,-1.0800655146048157,2,0.033452520659830086,10,10,-1.172876217116909,1.3494017973327288,1.4295388892192187,-0.49489628685439924
10,2,2,1,1,4,10,3,0,2,-0.7288371586902919,2,5,2,2,0,11,-0.1756301196323356,4.0,4,0,6,5,0,3,0,1,-1.0800655146048157,2,-0.6571011148388112,9,18,-1.172876217116909,0.6766237162035786,0.780069715569033,-0.42238288382542105
9,2,5,3,1,5,9,3,0,1,-0.9496345494360227,1,5,2,3,0,4,-0.1756301196323356,2.0,4,0,7,5,0,3,0,1,-1.0800655146048157,2,-0.7350241148478195,12,19,-1.172876217116909,0.7619054447974146,0.8649102832981114,-0.43849697338741617
3,4,3,5,1,3,4,1,1,2,-0.3608415074474072,1,5,2,2,0,11,-0.1756301196323356,1.0,4,3,6,5,0,3,0,1,-1.0800655146048157,2,-0.7502045618119249,24,3,-1.172876217116909,1.3051816417655546,1.3593260055813607,-0.41432583904442344
3,3,5,6,1,3,3,4,0,2,0.3015506647897852,1,4,2,2,0,15,-0.1756301196323356,1.0,4,3,7,6,0,2,0,3,-1.0800655146048157,3,-0.7920722653563993,19,24,-1.172876217116909,1.3209745544681168,1.3885813737638015,-0.45461106294941134
7,1,1,2,1,1,7,1,1,1,0.15435240429263136,1,3,1,2,0,12,-0.1756301196323356,4.0,4,0,4,6,0,0,4,2,-1.0800655146048157,1,-0.7965827229844186,1,1,-1.172876217116909,0.9924819702548229,1.0989532287576376,-0.49489628685439924
1,3,2,1,1,1,1,4,0,2,0.08075327404405443,1,5,2,2,0,5,-0.1756301196323356,2.0,4,3,7,6,0,1,0,1,-1.0800655146048157,2,-0.7071556877312651,16,22,-1.172876217116909,1.5168066719798883,1.5670391196766904,-0.4465540181684138
1,3,3,2,1,3,1,4,0,2,2.3623263117499396,2,5,2,2,0,16,-0.1756301196323356,1.0,4,0,8,9,0,0,0,1,-1.0800655146048157,2,-0.5115116249169976,17,24,-1.172876217116909,1.513648089439376,1.5611880460402021,-0.43849697338741617
2,2,3,6,1,4,2,2,1,2,-0.8024362889388688,2,4,2,1,0,8,-0.1756301196323356,3.0,4,3,5,5,0,0,0,1,-1.0800655146048157,3,-0.4822669051794927,10,11,-1.172876217116909,1.4378421084670774,1.5085283833118088,-0.4868392420734017
2,2,4,6,1,1,2,3,0,1,-0.581638898193138,2,5,2,3,0,9,-0.1756301196323356,4.0,4,0,6,5,1,0,0,1,-1.0800655146048157,2,-0.6781850422585094,11,15,-1.172876217116909,1.434683525926565,1.4968262360388325,-0.46266810773040895
11,4,4,3,1,5,11,4,0,2,-0.2136432469502533,1,3,1,3,0,13,-0.1756301196323356,3.0,4,3,5,6,0,3,0,1,-1.0800655146048157,1,-0.34187685485769254,25,26,-1.172876217116909,0.5281703367994939,0.6659737796575139,-0.4868392420734017
4,3,5,6,1,2,4,3,0,2,1.4055376185184392,1,5,2,2,0,9,-0.1756301196323356,4.0,4,4,8,8,0,2,0,1,-1.0800655146048157,2,-0.24112691125616365,19,16,-0.046505565716158846,1.2230584957122312,0.2534730882850988,2.421753923866725
5,4,5,6,1,5,5,4,0,2,0.6695463160326699,1,3,1,3,0,14,-0.1756301196323356,2.0,4,4,8,7,0,0,0,1,-1.0800655146048157,1,1.093870588454331,26,26,-1.172876217116909,1.106190941713271,1.2042725542144246,-0.49489628685439924
6,4,3,6,1,5,6,4,0,2,-0.9496345494360227,1,3,1,2,0,4,2.1274967499617325,3.0,4,3,6,5,0,2,3,1,-1.0800655146048157,1,-0.7284260257563083,24,26,-1.172876217116909,1.01459204803841,1.113580912848858,-0.47878219729240407
7,3,7,1,2,3,1,4,0,2,-1.3912293309274841,1,2,1,6,1,4,-0.1756301196323356,4.0,4,0,4,4,0,2,0,1,-1.0800655146048157,2,1.410564099627241,21,24,-0.046505565716158846,0.9293103194445741,0.4933671073811133,1.0117710871921484
6,4,2,6,1,2,6,4,0,1,0.37514979503836215,1,5,2,3,0,8,-0.1756301196323356,1.0,4,1,7,6,0,1,0,1,-1.0800655146048157,2,1.3159368469499946,23,23,-1.172876217116909,1.0177506305789223,1.1223575233035903,-0.49489628685439924
