Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,RepNumber,Deductible,DriverRating,Days_Policy_Accident,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy,ClaimSize,Accident_date,claim_date,year_claim,Accident_datetime,claim_datetime,days_btw_claim
1,5,1,1,1,2,2,2,1,1,-0.9531668690870089,2,2,1,6,3,-0.17473311238742065,1,4,0,5,5,0,0,0,1,-1.0742859917743628,2,1.1757613021638977,29,9,-1.1664527006153784,1.4638612594730052,1.5056434613294805,-0.4079415950417918
10,4,5,1,1,3,11,1,0,1,-1.480230002266922,2,2,1,6,12,-0.17473311238742065,3,4,0,5,3,0,2,0,1,-1.0742859917743628,2,1.3217644397738073,26,3,-1.1664527006153784,0.6150289195866002,0.7272500023063088,-0.4320202157407906
11,1,5,1,1,2,3,4,0,1,-2.9861246684952447,1,2,1,6,1,-0.17473311238742065,4,4,1,8,1,0,0,0,1,-1.0742859917743628,2,1.8075828536919938,5,23,-0.04954381813333732,0.5835906847759927,0.31910361929790404,0.6113866812158224
4,3,2,4,1,3,4,3,0,2,0.17625413058423317,1,8,3,6,7,-0.17473311238742065,1,4,3,8,6,0,2,0,1,-1.0742859917743628,3,-0.7863394814046373,16,17,-1.1664527006153784,1.2217868514313266,1.3103162637468868,-0.48820366403845433
4,4,1,1,1,2,5,1,0,2,-0.7272826691527605,2,3,1,6,2,-0.17473311238742065,2,4,3,6,5,0,3,0,1,-1.0742859917743628,1,2.3114989731971782,22,2,-1.1664527006153784,1.202923910544962,1.2665862941388435,-0.41596780194145805
8,3,7,3,1,4,8,5,0,2,1.7574435301239721,1,3,1,2,8,-0.17473311238742065,3,4,1,8,8,0,1,0,1,-1.0742859917743628,1,1.1599795847706338,21,31,-1.1664527006153784,0.8225212693366103,0.9138312059672937,-0.41596780194145805
6,3,6,6,1,2,6,3,0,1,-0.6519879358413444,2,3,1,3,5,-0.17473311238742065,3,4,0,6,5,0,2,0,1,-1.0742859917743628,1,1.4604458562325846,20,16,-0.04954381813333732,1.0174383251623773,0.07130045818565837,2.4012308198413974
9,3,5,3,1,5,9,3,0,2,0.4021383305184816,1,4,2,6,12,-0.17473311238742065,3,4,4,8,6,0,0,0,1,-1.0742859917743628,3,1.2392735064387699,19,19,-1.1664527006153784,0.7313503883858483,0.8584399111304388,-0.4962298709381206
5,3,7,8,1,5,5,4,0,2,0.17625413058423317,1,4,2,3,1,-0.17473311238742065,3,4,3,7,6,0,1,0,1,-1.0742859917743628,3,1.934058386427039,21,26,-1.1664527006153784,1.1117530295942002,1.196618342765974,-0.4560988364397893
3,1,7,1,1,2,3,2,0,1,-2.9861246684952447,1,5,2,6,6,-0.17473311238742065,1,4,1,8,1,0,0,0,1,-1.0742859917743628,2,1.4511370381965927,7,9,-1.1664527006153784,1.347539790673757,1.4240141847277996,-0.48017745713878807
1,4,2,4,1,3,1,4,0,2,0.17625413058423317,1,8,3,6,12,-0.17473311238742065,1,4,3,7,6,0,0,0,1,-1.0742859917743628,3,0.9432036687437398,23,24,-1.1664527006153784,1.4827242003593697,1.5522887622447268,-0.48820366403845433
10,2,3,5,1,4,10,2,0,1,-0.42610373590709594,2,3,1,2,5,-0.17473311238742065,3,4,3,7,5,0,3,0,1,-1.0742859917743628,1,-0.7053146290196093,10,11,-1.1664527006153784,0.6653300952835725,0.7943026223719752,-0.48820366403845433
11,4,2,1,1,4,11,4,0,2,1.155085663632643,1,2,1,6,12,-0.17473311238742065,1,4,0,8,7,0,0,0,1,-1.0742859917743628,2,1.339349089391626,23,25,-1.1664527006153784,0.527001862116899,0.6631127135478452,-0.48017745713878807
11,4,4,2,1,2,1,1,0,2,-0.3508090025956798,1,5,2,2,1,-0.17473311238742065,3,4,0,7,5,0,1,0,1,-1.0742859917743628,2,2.218241824475054,25,2,-0.04954381813333732,0.5207142151547776,0.5523301238741353,-0.19123400875080296
4,3,4,5,1,4,5,1,1,2,-0.20021953597284753,1,3,1,6,10,-0.17473311238742065,1,4,3,6,6,0,2,0,1,-1.0742859917743628,1,1.3317549203245616,18,4,-1.1664527006153784,1.2154992044692052,1.2607556315244377,-0.3678105605434605
7,4,6,1,1,3,8,2,0,2,0.7786119970755623,1,5,2,2,13,-0.17473311238742065,1,4,0,8,7,0,2,0,1,-1.0742859917743628,2,1.1299339707109786,27,10,-1.1664527006153784,0.9011168563631293,0.9750531634185544,-0.38386297434279304
1,1,1,1,1,2,1,1,0,2,0.5527277971413138,2,5,2,2,7,-0.17473311238742065,2,4,1,8,7,0,3,0,1,-1.0742859917743628,2,1.0501259076237988,1,2,-1.1664527006153784,1.5518883169427065,1.6164260510031903,-0.48820366403845433
1,3,3,6,1,3,1,3,0,2,-0.12492480266143138,1,3,1,2,13,-0.17473311238742065,4,4,3,6,6,0,0,0,1,-1.0742859917743628,1,-0.7922150215199386,17,17,-1.1664527006153784,1.5015871412457342,1.572696081395147,-0.4962298709381206
